Date,OTG,DSM,OTM
2018-01-01,2.19876656046836e-05,3.98689780922723e-06,3.73578313883627e-06
2018-01-02,6.93998736096546e-05,1.31718961711158e-05,1.22661513159983e-05
2018-01-03,9.22216258913977e-06,6.86770799802616e-05,9.81459525064565e-05
2018-01-04,8.06542084319517e-05,1.05951048681163e-05,5.28819828105043e-06
2018-01-05,4.43845929112285e-05,3.2763127819635e-05,2.75781912932871e-05
2018-01-06,1.73785647348268e-05,7.74641648604302e-06,5.11292728333501e-06
2018-01-07,0.000180964038008824,1.42824665090302e-05,1.01981622719904e-05
2018-01-08,0,1.93345772458997e-06,5.23422932019457e-06
2018-01-09,0,5.25621953784139e-06,1.56006808538223e-05
2018-01-10,8.48934007535718e-07,0,0
2018-01-11,4.18354204612115e-07,1.69862843790725e-07,5.02184207107348e-07
2018-01-12,0,0,0
2018-01-13,1.43359068260907e-06,7.13802876362024e-07,2.10179678106215e-06
2018-01-14,7.71498889662325e-06,6.91579862177605e-06,1.70069888554281e-05
2018-01-15,6.41593796899542e-05,1.21786606541718e-05,6.14896680417587e-06
2018-01-16,9.29978559724987e-05,6.2439371504297e-06,3.04561604025366e-06
2018-01-17,0.000109404521936085,1.4797550647927e-05,7.20341768101207e-06
2018-01-18,6.45361651550047e-05,1.4643474969489e-05,9.55863924900768e-06
2018-01-19,4.67535210191272e-05,0,0
2018-01-20,6.70794543111697e-05,1.74437138866779e-06,8.44295300339581e-07
2018-01-21,1.17113322630757e-05,2.47941693487519e-06,1.19792014174891e-06
2018-01-22,4.23059027525596e-05,0,0
2018-01-23,8.7954740592977e-06,0,0
2018-01-24,0,0,0
2018-01-25,0,0,0
2018-01-26,0,0,0
2018-01-27,8.51273762236815e-06,3.75713793410171e-10,1.07984077235557e-09
2018-01-28,4.89178783027455e-05,1.57482354552485e-05,9.38022458285559e-06
2018-01-29,8.54888567118906e-05,3.32284866999544e-06,1.6583805972914e-06
2018-01-30,3.25013229485194e-06,0,0
2018-01-31,4.9928451062442e-07,4.05957007387769e-06,3.80398228116974e-06
2018-02-01,4.86243334307801e-05,8.58496860018931e-05,6.39365607639775e-05
2018-02-02,7.01654353179038e-05,0.000159522751346231,9.8024909675587e-05
2018-02-03,2.03239087568363e-05,1.11146766812453e-06,6.98392000231252e-07
2018-02-04,1.60045365191763e-05,2.67569666903e-05,2.57344781857682e-05
2018-02-05,7.18886940376251e-06,1.23042218547198e-05,7.77632430981612e-06
2018-02-06,1.50515438690491e-06,1.93219875654904e-05,2.1389236280811e-05
2018-02-07,9.60978286457248e-05,4.76554596389178e-05,3.93219779653009e-05
2018-02-08,0,0,0
2018-02-09,0,7.44294492704967e-09,2.14365112327641e-08
2018-02-10,5.43750775250373e-06,7.70739518429764e-07,3.70546473504874e-07
2018-02-11,6.91081659169868e-05,9.19832814361143e-08,4.42999841254732e-08
2018-02-12,9.40658173931297e-06,4.52909221237974e-09,1.31128183866736e-08
2018-02-13,0,2.15772138290049e-06,4.78528909297893e-06
2018-02-14,0,8.03276464012015e-07,2.3358757061942e-06
2018-02-15,0,4.0536537682101e-08,1.18163384854597e-07
2018-02-16,3.44163017871324e-05,0,0
2018-02-17,6.05534878559411e-05,2.14576575672254e-05,2.52077225013636e-05
2018-02-18,3.57071839971468e-05,1.79225917236181e-05,1.10066685010679e-05
2018-02-19,2.21448899537791e-05,1.47354585351422e-05,8.41505698190304e-06
